indicator,name
CC.GHG.MEMG.EI,Macro drivers of GHG emissions growth in the period 2012-2018 - Emission Intensity of GDP
CC.GHG.MEMG.GC,Macro drivers of GHG emissions growth in the period 2012-2018 - GDP per capita
CC.INCP.ALRS,"Annual investment needs for coastal protection, by risk strategy (% of GDP) - low risk tolerance"
CC.INCP.KRGC,"Annual investment needs for coastal protection, by risk strategy (% of GDP) - constant relative flood risk"
CC.INCP.SPMC,"Annual investment needs for coastal protection, by risk strategy (% of GDP) - optimal protection"
CC.RISK.AST.ZS,Risk to asset (average annual losses as % of GDP)
CC.RISK.WELL.ZS,Risk to wellbeing (average annual losses as % of GDP)
CC.SP.EXP.ZS,Public social protection expenditure (%of GDP)
CM.FIN.INTL.GD.ZS,"Financing via international capital markets (gross inflows, % of GDP)"
CM.MKT.LCAP.GD.ZS,Market capitalization of listed domestic companies (% of GDP)
CM.MKT.TRAD.CD,"Stocks traded, total value (current US$)"
CM.MKT.TRAD.GD.ZS,"Stocks traded, total value (% of GDP)"
CM.MKT.TRNR,"Stocks traded, turnover ratio of domestic shares (%)"
DAK.TRAD.CR,Total Specific Allocation Grant for Trade (in IDR Billion)
DP.DOD.DECD.CR.BC.Z1,"Gross PSD, Budgetary Central Gov., All maturities, All instruments, Domestic creditors, Nominal Value, % of GDP"
DP.DOD.DECD.CR.CG.Z1,"Gross PSD, Central Gov., All maturities, All instruments, Domestic creditors, Nominal Value, % of GDP"
DP.DOD.DECD.CR.FC.Z1,"Gross PSD, Financial Public Corp., All maturities, All instruments, Domestic creditors, Nominal Value, % of GDP"
DP.DOD.DECD.CR.GG.Z1,"Gross PSD, General Gov., All maturities, All instruments, Domestic creditors, Nominal Value, % of GDP"
DP.DOD.DECD.CR.NF.Z1,"Gross PSD, Nonfinancial Public Corp., All maturities, All instruments, Domestic creditors, Nominal Value, % of GDP"
DP.DOD.DECF.CR.BC.Z1,"Gross PSD, Budgetary Central Gov., All maturities, All instruments, Foreign currency, Nominal Value, % of GDP"
DP.DOD.DECF.CR.CG.Z1,"Gross PSD, Central Gov., All maturities, All instruments, Foreign currency, Nominal Value, % of GDP"
DP.DOD.DECF.CR.FC.Z1,"Gross PSD, Financial Public Corp., All maturities, All instruments, Foreign currency, Nominal Value, % of GDP"
DP.DOD.DECF.CR.GG.Z1,"Gross PSD, General Gov., All maturities, All instruments, Foreign currency, Nominal Value, % of GDP"
DP.DOD.DECF.CR.NF.Z1,"Gross PSD, Nonfinancial Public Corp., All maturities, All instruments, Foreign currency, Nominal Value, % of GDP"
DP.DOD.DECN.CR.BC.Z1,"Gross PSD, Budgetary Central Gov., All maturities, All instruments, Domestic currency, Nominal Value, % of GDP"
DP.DOD.DECN.CR.CG.Z1,"Gross PSD, Central Gov., All maturities, All instruments, Domestic currency, Nominal Value, % of GDP"
DP.DOD.DECN.CR.FC.Z1,"Gross PSD, Financial Public Corp., All maturities, All instruments, Domestic currency, Nominal Value, % of GDP"
DP.DOD.DECN.CR.GG.Z1,"Gross PSD, General Gov., All maturities, All instruments, Domestic currency, Nominal Value, % of GDP"
DP.DOD.DECN.CR.NF.Z1,"Gross PSD, Nonfinancial Public Corp., All maturities, All instruments, Domestic currency, Nominal Value, % of GDP"
DP.DOD.DECT.CR.BC.Z1,"Gross PSD, Budgetary Central Gov., All maturities, All instruments, Nominal Value, % of GDP"
DP.DOD.DECT.CR.CG.Z1,"Gross PSD, Central Gov., All maturities, All instruments, Nominal Value, % of GDP"
DP.DOD.DECT.CR.FC.Z1,"Gross PSD, Financial Public Corp., All maturities, All instruments, Nominal Value, % of GDP"
DP.DOD.DECT.CR.GG.Z1,"Gross PSD, General Gov., All maturities, All instruments, Nominal Value, % of GDP"
DP.DOD.DECT.CR.NF.Z1,"Gross PSD, Nonfinancial Public Corp., All maturities, All instruments, Nominal Value, % of GDP"
DP.DOD.DECX.CR.BC.Z1,"Gross PSD, Budgetary Central Gov., All maturities, All instruments, External creditors, Nominal Value, % of GDP"
DP.DOD.DECX.CR.CG.Z1,"Gross PSD, Central Gov., All maturities, All instruments, External creditors, Nominal Value, % of GDP"
DP.DOD.DECX.CR.FC.Z1,"Gross PSD, Financial Public Corp., All maturities, All instruments, External creditors, Nominal Value, % of GDP"
DP.DOD.DECX.CR.GG.Z1,"Gross PSD, General Gov., All maturities, All instruments, External creditors, Nominal Value, % of GDP"
DP.DOD.DECX.CR.NF.Z1,"Gross PSD, Nonfinancial Public Corp., All maturities, All instruments, External creditors, Nominal Value, % of GDP"
DP.DOD.DLCD.CR.BC.Z1,"Gross PSD, Budgetary Central Gov., All maturities, Currency and deposits, Nominal Value, % of GDP"
DP.DOD.DLCD.CR.CG.Z1,"Gross PSD, Central Gov., All maturities, Currency and deposits, Nominal Value, % of GDP"
DP.DOD.DLCD.CR.FC.Z1,"Gross PSD, Financial Public Corp., All maturities, Currency and deposits, Nominal Value, % of GDP"
DP.DOD.DLCD.CR.GG.Z1,"Gross PSD, General Gov., All maturities, Currency and deposits, Nominal Value, % of GDP"
DP.DOD.DLCD.CR.L1.BC.Z1,"Gross PSD, Budgetary Central Gov., Long-term, With payment due in one year or less, Currency and deposits, Nominal Value, % of GDP"
DP.DOD.DLCD.CR.L1.CG.Z1,"Gross PSD, Central Gov., Long-term, With payment due in one year or less, Currency and deposits, Nominal Value, % of GDP"
DP.DOD.DLCD.CR.L1.FC.Z1,"Gross PSD, Financial Public Corp., Long-term, With payment due in one year or less, Currency and deposits, Nominal Value, % of GDP"
DP.DOD.DLCD.CR.L1.GG.Z1,"Gross PSD, General Gov., Long-term, With payment due in one year or less, Currency and deposits, Nominal Value, % of GDP"
DP.DOD.DLCD.CR.L1.NF.Z1,"Gross PSD, Nonfinancial Public Corp., Long-term, With payment due in one year or less, Currency and deposits, Nominal Value, % of GDP"
DP.DOD.DLCD.CR.M1.BC.Z1,"Gross PSD, Budgetary Central Gov., Long-term, With payment due in more than one year, Currency and deposits, Nominal Value, % of GDP"
DP.DOD.DLCD.CR.M1.CG.Z1,"Gross PSD, Central Gov., Long-term, With payment due in more than one year, Currency and deposits, Nominal Value, % of GDP"
DP.DOD.DLCD.CR.M1.FC.Z1,"Gross PSD, Financial Public Corp., Long-term, With payment due in more than one year, Currency and deposits, Nominal Value, % of GDP"
DP.DOD.DLCD.CR.M1.GG.Z1,"Gross PSD, General Gov., Long-term, With payment due in more than one year, Currency and deposits, Nominal Value, % of GDP"
DP.DOD.DLCD.CR.M1.NF.Z1,"Gross PSD, Nonfinancial Public Corp., Long-term, With payment due in more than one year, Currency and deposits, Nominal Value, % of GDP"
DP.DOD.DLCD.CR.NF.Z1,"Gross PSD, Nonfinancial Public Corp., All maturities, Currency and deposits, Nominal Value, % of GDP"
DP.DOD.DLD1.CR.CG.Z1,"Gross PSD, Central Gov.-D1, All maturities, Debt securities + loans, Nominal Value, % of GDP"
DP.DOD.DLD1.CR.GG.Z1,"Gross PSD, General Gov.-D1, All maturities, Debt securities + loans, Nominal Value, % of GDP"
DP.DOD.DLD2.CR.CG.Z1,"Gross PSD, Central Gov.-D2, All maturities, D1+ SDRs + currency and deposits, Nominal Value, % of GDP"
DP.DOD.DLD2.CR.GG.Z1,"Gross PSD, General Gov.-D2, All maturities, D1+ SDRs + currency and deposits, Nominal Value, % of GDP"
DP.DOD.DLD2A.CR.CG.Z1,"Gross PSD, Central Gov.-D2A, All maturities, D1+ currency and deposits, Maastricht debt, % of GDP"
DP.DOD.DLD2A.CR.GG.Z1,"Gross PSD, General Gov.-D2A, All maturities, D1+ currency and deposits, Maastricht debt, % of GDP"
DP.DOD.DLD3.CR.CG.Z1,"Gross PSD, Central Gov.-D3, All maturities, D2+other accounts payable, Nominal Value, % of GDP"
DP.DOD.DLD3.CR.GG.Z1,"Gross PSD, General Gov.-D3, All maturities, D2+other accounts payable, Nominal Value, % of GDP"
DP.DOD.DLD4.CR.CG.Z1,"Gross PSD, Central Gov.-D4, All maturities, D3+insurance, pensions, and standardized guarantees, Nominal Value, % of GDP"
DP.DOD.DLD4.CR.GG.Z1,"Gross PSD, General Gov.-D4, All maturities, D3+insurance, pensions, and standardized guarantees, Nominal Value, % of GDP"
DP.DOD.DLDS.CR.BC.Z1,"Gross PSD, Budgetary Central Gov., All maturities, Debt securities, Nominal Value, % of GDP"
DP.DOD.DLDS.CR.CG.Z1,"Gross PSD, Central Gov., All maturities, Debt securities, Nominal Value, % of GDP"
DP.DOD.DLDS.CR.FC.Z1,"Gross PSD, Financial Public Corp., All maturities, Debt securities, Nominal Value, % of GDP"
DP.DOD.DLDS.CR.GG.Z1,"Gross PSD, General Gov., All maturities, Debt securities, Nominal Value, % of GDP"
DP.DOD.DLDS.CR.L1.BC.Z1,"Gross PSD, Budgetary Central Gov., Long-term, With payment due in one year or less, Debt securities, Nominal Value, % of GDP"
DP.DOD.DLDS.CR.L1.CG.Z1,"Gross PSD, Central Gov., Long-term, With payment due in one year or less, Debt securities, Nominal Value, % of GDP"
DP.DOD.DLDS.CR.L1.FC.Z1,"Gross PSD, Financial Public Corp., Long-term, With payment due in one year or less, Debt securities, Nominal Value, % of GDP"
DP.DOD.DLDS.CR.L1.GG.Z1,"Gross PSD, General Gov., Long-term, With payment due in one year or less, Debt securities, Nominal Value, % of GDP"
DP.DOD.DLDS.CR.L1.NF.Z1,"Gross PSD, Nonfinancial Public Corp., Long-term, With payment due in one year or less, Debt securities, Nominal Value, % of GDP"
DP.DOD.DLDS.CR.M1.BC.Z1,"Gross PSD, Budgetary Central Gov., Long-term, With payment due in more than one year, Debt securities, Nominal Value, % of GDP"
DP.DOD.DLDS.CR.M1.CG.Z1,"Gross PSD, Central Gov., Long-term, With payment due in more than one year, Debt securities, Nominal Value, % of GDP"
DP.DOD.DLDS.CR.M1.FC.Z1,"Gross PSD, Financial Public Corp., Long-term, With payment due in more than one year, Debt securities, Nominal Value, % of GDP"
DP.DOD.DLDS.CR.M1.GG.Z1,"Gross PSD, General Gov., Long-term, With payment due in more than one year, Debt securities, Nominal Value, % of GDP"
DP.DOD.DLDS.CR.M1.NF.Z1,"Gross PSD, Nonfinancial Public Corp., Long-term, With payment due in more than one year, Debt securities, Nominal Value, % of GDP"
DP.DOD.DLDS.CR.MV.BC.Z1,"Gross PSD, Budgetary Central Gov., All maturities, Debt Securities, Market value, % of GDP"
DP.DOD.DLDS.CR.MV.CG.Z1,"Gross PSD, Central Gov., All maturities, Debt Securities, Market value, % of GDP"
DP.DOD.DLDS.CR.MV.FC.Z1,"Gross PSD, Financial Public Corp., All maturities, Debt Securities, Market value, % of GDP"
DP.DOD.DLDS.CR.MV.GG.Z1,"Gross PSD, General Gov., All maturities, Debt Securities, Market value, % of GDP"
DP.DOD.DLDS.CR.MV.NF.Z1,"Gross PSD, Nonfinancial Public Corp., All maturities, Debt Securities, Market value, % of GDP"
DP.DOD.DLDS.CR.NF.Z1,"Gross PSD, Nonfinancial Public Corp., All maturities, Debt securities, Nominal Value, % of GDP"
DP.DOD.DLIN.CR.BC.Z1,"Gross PSD, Budgetary Central Gov., All maturities, Insurance, pensions, and standardized guarantee schemes, Nominal Value, % of GDP"
DP.DOD.DLIN.CR.CG.Z1,"Gross PSD, Central Gov., All maturities, Insurance, pensions, and standardized guarantee schemes, Nominal Value, % of GDP"
DP.DOD.DLIN.CR.FC.Z1,"Gross PSD, Financial Public Corp., All maturities, Insurance, pensions, and standardized guarantee schemes, Nominal Value, % of GDP"
DP.DOD.DLIN.CR.GG.Z1,"Gross PSD, General Gov., All maturities, Insurance, pensions, and standardized guarantee schemes, Nominal Value, % of GDP"
DP.DOD.DLIN.CR.L1.BC.Z1,"Gross PSD, Budgetary Central Gov., Long-term, With payment due in one year or less, Insurance, pensions, and standardized guarantee schemes, Nominal Value, % of GDP"
DP.DOD.DLIN.CR.L1.CG.Z1,"Gross PSD, Central Gov., Long-term, With payment due in one year or less, Insurance, pensions, and standardized guarantee schemes, Nominal Value, % of GDP"
DP.DOD.DLIN.CR.L1.FC.Z1,"Gross PSD, Financial Public Corp., Long-term, With payment due in one year or less, Insurance, pensions, and standardized guarantee schemes, Nominal Value, % of GDP"
DP.DOD.DLIN.CR.L1.GG.Z1,"Gross PSD, General Gov., Long-term, With payment due in one year or less, Insurance, pensions, and standardized guarantee schemes, Nominal Value, % of GDP"
DP.DOD.DLIN.CR.L1.NF.Z1,"Gross PSD, Nonfinancial Public Corp., Long-term, With payment due in one year or less, Insurance, pensions, and standardized guarantee schemes, Nominal Value, % of GDP"
DP.DOD.DLIN.CR.M1.BC.Z1,"Gross PSD, Budgetary Central Gov., Long-term, With payment due in more than one year, Insurance, pensions, and standardized guarantee schemes, Nominal Value, % of GDP"
DP.DOD.DLIN.CR.M1.CG.Z1,"Gross PSD, Central Gov., Long-term, With payment due in more than one year, Insurance, pensions, and standardized guarantee schemes, Nominal Value, % of GDP"
DP.DOD.DLIN.CR.M1.FC.Z1,"Gross PSD, Financial Public Corp., Long-term, With payment due in more than one year, Insurance, pensions, and standardized guarantee schemes, Nominal Value, % of GDP"
DP.DOD.DLIN.CR.M1.GG.Z1,"Gross PSD, General Gov., Long-term, With payment due in more than one year, Insurance, pensions, and standardized guarantee schemes, Nominal Value, % of GDP"
DP.DOD.DLIN.CR.M1.NF.Z1,"Gross PSD, Nonfinancial Public Corp., Long-term, With payment due in more than one year, Insurance, pensions, and standardized guarantee schemes, Nominal Value, % of GDP"
DP.DOD.DLIN.CR.NF.Z1,"Gross PSD, Nonfinancial Public Corp., All maturities, Insurance, pensions, and standardized guarantee schemes, Nominal Value, % of GDP"
DP.DOD.DLLO.CR.BC.Z1,"Gross PSD, Budgetary Central Gov., All maturities, Loans, Nominal Value, % of GDP"
DP.DOD.DLLO.CR.CG.Z1,"Gross PSD, Central Gov., All maturities, Loans, Nominal Value, % of GDP"
DP.DOD.DLLO.CR.FC.Z1,"Gross PSD, Financial Public Corp., All maturities, Loans, Nominal Value, % of GDP"
DP.DOD.DLLO.CR.GG.Z1,"Gross PSD, General Gov., All maturities, Loans, Nominal Value, % of GDP"
DP.DOD.DLLO.CR.L1.BC.Z1,"Gross PSD, Budgetary Central Gov., Long-term, With payment due in one year or less, Loans, Nominal Value, % of GDP"
DP.DOD.DLLO.CR.L1.CG.Z1,"Gross PSD, Central Gov., Long-term, With payment due in one year or less, Loans, Nominal Value, % of GDP"
DP.DOD.DLLO.CR.L1.FC.Z1,"Gross PSD, Financial Public Corp., Long-term, With payment due in one year or less, Loans, Nominal Value, % of GDP"
DP.DOD.DLLO.CR.L1.GG.Z1,"Gross PSD, General Gov., Long-term, With payment due in one year or less, Loans, Nominal Value, % of GDP"
DP.DOD.DLLO.CR.L1.NF.Z1,"Gross PSD, Nonfinancial Public Corp., Long-term, With payment due in one year or less, Loans, Nominal Value, % of GDP"
DP.DOD.DLLO.CR.M1.BC.Z1,"Gross PSD, Budgetary Central Gov., Long-term, With payment due in more than one year, Loans, Nominal Value, % of GDP"
DP.DOD.DLLO.CR.M1.CG.Z1,"Gross PSD, Central Gov., Long-term, With payment due in more than one year, Loans, Nominal Value, % of GDP"
DP.DOD.DLLO.CR.M1.FC.Z1,"Gross PSD, Financial Public Corp., Long-term, With payment due in more than one year, Loans, Nominal Value, % of GDP"
DP.DOD.DLLO.CR.M1.GG.Z1,"Gross PSD, General Gov., Long-term, With payment due in more than one year, Loans, Nominal Value, % of GDP"
DP.DOD.DLLO.CR.M1.NF.Z1,"Gross PSD, Nonfinancial Public Corp., Long-term, With payment due in more than one year, Loans, Nominal Value, % of GDP"
DP.DOD.DLLO.CR.NF.Z1,"Gross PSD, Nonfinancial Public Corp., All maturities, Loans, Nominal Value, % of GDP"
DP.DOD.DLOA.CR.BC.Z1,"Gross PSD, Budgetary Central Gov., All maturities, Other accounts payable, Nominal Value, % of GDP"
DP.DOD.DLOA.CR.CG.Z1,"Gross PSD, Central Gov., All maturities, Other accounts payable, Nominal Value, % of GDP"
DP.DOD.DLOA.CR.FC.Z1,"Gross PSD, Financial Public Corp., All maturities, Other accounts payable, Nominal Value, % of GDP"
DP.DOD.DLOA.CR.GG.Z1,"Gross PSD, General Gov., All maturities, Other accounts payable, Nominal Value, % of GDP"
DP.DOD.DLOA.CR.L1.BC.Z1,"Gross PSD, Budgetary Central Gov., Long-term, With payment due in one year or less, Other accounts payable, Nominal Value, % of GDP"
DP.DOD.DLOA.CR.L1.CG.Z1,"Gross PSD, Central Gov., Long-term, With payment due in one year or less, Other accounts payable, Nominal Value, % of GDP"
DP.DOD.DLOA.CR.L1.FC.Z1,"Gross PSD, Financial Public Corp., Long-term, With payment due in one year or less, Other accounts payable, Nominal Value, % of GDP"
DP.DOD.DLOA.CR.L1.GG.Z1,"Gross PSD, General Gov., Long-term, With payment due in one year or less, Other accounts payable, Nominal Value, % of GDP"
DP.DOD.DLOA.CR.L1.NF.Z1,"Gross PSD, Nonfinancial Public Corp., Long-term, With payment due in one year or less, Other accounts payable, Nominal Value, % of GDP"
DP.DOD.DLOA.CR.M1.BC.Z1,"Gross PSD, Budgetary Central Gov., Long-term, With payment due in more than one year, Other accounts payable, Nominal Value, % of GDP"
DP.DOD.DLOA.CR.M1.CG.Z1,"Gross PSD, Central Gov., Long-term, With payment due in more than one year, Other accounts payable, Nominal Value, % of GDP"
DP.DOD.DLOA.CR.M1.FC.Z1,"Gross PSD, Financial Public Corp., Long-term, With payment due in more than one year, Other accounts payable, Nominal Value, % of GDP"
DP.DOD.DLOA.CR.M1.GG.Z1,"Gross PSD, General Gov., Long-term, With payment due in more than one year, Other accounts payable, Nominal Value, % of GDP"
DP.DOD.DLOA.CR.M1.NF.Z1,"Gross PSD, Nonfinancial Public Corp., Long-term, With payment due in more than one year, Other accounts payable, Nominal Value, % of GDP"
DP.DOD.DLOA.CR.NF.Z1,"Gross PSD, Nonfinancial Public Corp., All maturities, Other accounts payable, Nominal Value, % of GDP"
DP.DOD.DLSD.CR.BC.Z1,"Gross PSD, Budgetary Central Gov., All maturities, Special Drawing Rights, Nominal Value, % of GDP"
DP.DOD.DLSD.CR.CG.Z1,"Gross PSD, Central Gov., All maturities, Special Drawing Rights, Nominal Value, % of GDP"
DP.DOD.DLSD.CR.FC.Z1,"Gross PSD, Financial Public Corp., All maturities, Special Drawing Rights, Nominal Value, % of GDP"
DP.DOD.DLSD.CR.GG.Z1,"Gross PSD, General Gov., All maturities, Special Drawing Rights, Nominal Value, % of GDP"
DP.DOD.DLSD.CR.M1.BC.Z1,"Gross PSD, Budgetary Central Gov., Long-term, With payment due in more than one year, Special Drawing Rights, Nominal Value, % of GDP"
DP.DOD.DLSD.CR.M1.CG.Z1,"Gross PSD, Central Gov., Long-term, With payment due in more than one year, Special Drawing Rights, Nominal Value, % of GDP"
DP.DOD.DLSD.CR.M1.FC.Z1,"Gross PSD, Financial Public Corp., Long-term, With payment due in more than one year, Special Drawing Rights, Nominal Value, % of GDP"
DP.DOD.DLSD.CR.M1.GG.Z1,"Gross PSD, General Gov., Long-term, With payment due in more than one year, Special Drawing Rights, Nominal Value, % of GDP"
DP.DOD.DLSD.CR.M1.NF.Z1,"Gross PSD, Nonfinancial Public Corp., Long-term, With payment due in more than one year, Special Drawing Rights, Nominal Value, % of GDP"
DP.DOD.DLSD.CR.NF.Z1,"Gross PSD, Nonfinancial Public Corp., All maturities, Special Drawing Rights, Nominal Value, % of GDP"
DP.DOD.DLTC.CR.BC.Z1,"Gross PSD, Budgetary Central Gov., Long-term, All instruments, Nominal Value, % of GDP"
DP.DOD.DLTC.CR.CG.Z1,"Gross PSD, Central Gov., Long-term, All instruments, Nominal Value, % of GDP"
DP.DOD.DLTC.CR.FC.Z1,"Gross PSD, Financial Public Corp., Long-term, All instruments, Nominal Value, % of GDP"
DP.DOD.DLTC.CR.GG.Z1,"Gross PSD, General Gov., Long-term, All instruments, Nominal Value, % of GDP"
DP.DOD.DLTC.CR.L1.BC.Z1,"Gross PSD, Budgetary Central Gov., Long-term, With payment due in one year or less, All instruments, Nominal Value, % of GDP"
DP.DOD.DLTC.CR.L1.CG.Z1,"Gross PSD, Central Gov., Long-term, With payment due in one year or less, All instruments, Nominal Value, % of GDP"
DP.DOD.DLTC.CR.L1.FC.Z1,"Gross PSD, Financial Public Corp., Long-term, With payment due in one year or less, All instruments, Nominal Value, % of GDP"
DP.DOD.DLTC.CR.L1.GG.Z1,"Gross PSD, General Gov., Long-term, With payment due in one year or less, All instruments, Nominal Value, % of GDP"
DP.DOD.DLTC.CR.L1.NF.Z1,"Gross PSD, Nonfinancial Public Corp., Long-term, With payment due in one year or less, All instruments, Nominal Value, % of GDP"
DP.DOD.DLTC.CR.M1.BC.Z1,"Gross PSD, Budgetary Central Gov., Long-term, With payment due in more than one year, All instruments, Nominal Value, % of GDP"
DP.DOD.DLTC.CR.M1.CG.Z1,"Gross PSD, Central Gov., Long-term, With payment due in more than one year, All instruments, Nominal Value, % of GDP"
DP.DOD.DLTC.CR.M1.FC.Z1,"Gross PSD, Financial Public Corp., Long-term, With payment due in more than one year, All instruments, Nominal Value, % of GDP"
DP.DOD.DLTC.CR.M1.GG.Z1,"Gross PSD, General Gov., Long-term, With payment due in more than one year, All instruments, Nominal Value, % of GDP"
DP.DOD.DLTC.CR.M1.NF.Z1,"Gross PSD, Nonfinancial Public Corp., Long-term, With payment due in more than one year, All instruments, Nominal Value, % of GDP"
DP.DOD.DLTC.CR.NF.Z1,"Gross PSD, Nonfinancial Public Corp., Long-term, All instruments, Nominal Value, % of GDP"
DP.DOD.DSCD.CR.BC.Z1,"Gross PSD, Budgetary Central Gov., Short-term, Currency and deposits, Nominal Value, % of GDP"
DP.DOD.DSCD.CR.CG.Z1,"Gross PSD, Central Gov., Short-term, Currency and deposits, Nominal Value, % of GDP"
DP.DOD.DSCD.CR.FC.Z1,"Gross PSD, Financial Public Corp., Short-term, Currency and deposits, Nominal Value, % of GDP"
DP.DOD.DSCD.CR.GG.Z1,"Gross PSD, General Gov., Short-term, Currency and deposits, Nominal Value, % of GDP"
DP.DOD.DSCD.CR.NF.Z1,"Gross PSD, Nonfinancial Public Corp., Short-term, Currency and deposits, Nominal Value, % of GDP"
DP.DOD.DSDS.CR.BC.Z1,"Gross PSD, Budgetary Central Gov., Short-term, Debt securities, Nominal Value, % of GDP"
DP.DOD.DSDS.CR.CG.Z1,"Gross PSD, Central Gov., Short-term, Debt securities, Nominal Value, % of GDP"
DP.DOD.DSDS.CR.FC.Z1,"Gross PSD, Financial Public Corp., Short-term, Debt securities, Nominal Value, % of GDP"
DP.DOD.DSDS.CR.GG.Z1,"Gross PSD, General Gov., Short-term, Debt securities, Nominal Value, % of GDP"
DP.DOD.DSDS.CR.NF.Z1,"Gross PSD, Nonfinancial Public Corp., Short-term, Debt securities, Nominal Value, % of GDP"
DP.DOD.DSIN.CR.BC.Z1,"Gross PSD, Budgetary Central Gov., Short-term, Insurance, pensions, and standardized guarantee schemes, Nominal Value, % of GDP"
DP.DOD.DSIN.CR.CG.Z1,"Gross PSD, Central Gov., Short-term, Insurance, pensions, and standardized guarantee schemes, Nominal Value, % of GDP"
DP.DOD.DSIN.CR.FC.Z1,"Gross PSD, Financial Public Corp., Short-term, Insurance, pensions, and standardized guarantee schemes, Nominal Value, % of GDP"
DP.DOD.DSIN.CR.GG.Z1,"Gross PSD, General Gov., Short-term, Insurance, pensions, and standardized guarantee schemes, Nominal Value, % of GDP"
DP.DOD.DSIN.CR.NF.Z1,"Gross PSD, Nonfinancial Public Corp., Short-term, Insurance, pensions, and standardized guarantee schemes, Nominal Value, % of GDP"
DP.DOD.DSLO.CR.BC.Z1,"Gross PSD, Budgetary Central Gov., Short-term, Loans, Nominal Value, % of GDP"
DP.DOD.DSLO.CR.CG.Z1,"Gross PSD, Central Gov., Short-term, Loans, Nominal Value, % of GDP"
DP.DOD.DSLO.CR.FC.Z1,"Gross PSD, Financial Public Corp., Short-term, Loans, Nominal Value, % of GDP"
DP.DOD.DSLO.CR.GG.Z1,"Gross PSD, General Gov., Short-term, Loans, Nominal Value, % of GDP"
DP.DOD.DSLO.CR.NF.Z1,"Gross PSD, Nonfinancial Public Corp., Short-term, Loans, Nominal Value, % of GDP"
DP.DOD.DSOA.CR.BC.Z1,"Gross PSD, Budgetary Central Gov., Short-term, Other accounts payable, Nominal Value, % of GDP"
DP.DOD.DSOA.CR.CG.Z1,"Gross PSD, Central Gov., Short-term, Other accounts payable, Nominal Value, % of GDP"
DP.DOD.DSOA.CR.FC.Z1,"Gross PSD, Financial Public Corp., Short-term, Other accounts payable, Nominal Value, % of GDP"
DP.DOD.DSOA.CR.GG.Z1,"Gross PSD, General Gov., Short-term, Other accounts payable, Nominal Value, % of GDP"
DP.DOD.DSOA.CR.NF.Z1,"Gross PSD, Nonfinancial Public Corp., Short-term, Other accounts payable, Nominal Value, % of GDP"
DP.DOD.DSTC.CR.BC.Z1,"Gross PSD, Budgetary Central Gov., Short-term, All instruments, Nominal Value, % of GDP"
DP.DOD.DSTC.CR.CG.Z1,"Gross PSD, Central Gov., Short-term, All instruments, Nominal Value, % of GDP"
DP.DOD.DSTC.CR.FC.Z1,"Gross PSD, Financial Public Corp., Short-term, All instruments, Nominal Value, % of GDP"
DP.DOD.DSTC.CR.GG.Z1,"Gross PSD, General Gov., Short-term, All instruments, Nominal Value, % of GDP"
